period1,period2,period3,final_note
1.3499999999999999,1.3299999999999998,1.75,4.4
0.8999999999999999,1.47,1.68,4.0
0.75,1.295,1.4,3.4
1.17,1.575,1.47,4.2
1.44,1.26,1.365,4.1
1.2,1.2249999999999999,1.645,4.1
0.96,1.4349999999999998,1.6099999999999999,4.0
1.47,1.3299999999999998,1.54,4.3
1.08,1.47,1.3299999999999998,3.9
1.2299999999999998,1.505,1.4,4.1
0.9899999999999999,1.54,1.47,4.0
1.41,1.365,1.575,4.3
1.14,1.575,1.295,4.0
1.2,1.1199999999999999,1.68,4.0
1.05,1.6099999999999999,1.365,4.0
1.2899999999999998,1.295,1.54,4.1
1.08,1.47,1.4349999999999998,4.0
1.47,1.19,1.4,4.1
1.11,1.4349999999999998,1.3299999999999998,3.9
1.26,1.26,1.645,4.2
1.14,1.575,1.505,4.2
1.3499999999999999,1.365,1.47,4.2
0.96,1.54,1.295,3.8
1.2299999999999998,1.4,1.6099999999999999,4.2
1.17,1.2249999999999999,1.68,4.1
